pipe_length_m,pipe_diameter_m,flow_velocity_m_s,fluid_density_kg_m3,dynamic_viscosity_pa_s,pressure_drop_kpa
6.8476,0.02899,3.821,1044.04,0.001343413,44.9462
4.5682,0.1742,1.7177,1031.18,0.0009814473,0.6373
7.1389,0.15453,0.817,1044.14,0.0008317226,0.2694
29.4408,0.11978,1.2908,960.06,0.0009474838,3.8137
14.8397,0.06587,2.0324,865.63,0.0003634924,7.4523
23.9543,0.06189,3.8099,1019.96,0.0005037062,53.094
19.8194,0.06773,1.8241,972.77,0.0008159256,9.4632
18.0276,0.0688,3.1977,972.95,0.001571748,27.6555
6.0636,0.0544,2.3917,933.45,0.001087922,6.2922
28.4887,0.02709,1.1398,964.37,0.0003561306,15.1031
10.4376,0.02671,1.6226,880.72,0.0009227876,12.1333
18.1845,0.17918,2.7862,997.95,0.0004568915,5.7871
21.5937,0.06068,2.855,865.0,0.001207491,28.376
20.1785,0.17957,2.0217,995.96,0.001441641,3.832
28.3366,0.02915,1.3003,1019.8,0.000924858,19.261
6.1563,0.07169,3.0267,944.49,0.0009211918,7.2364
16.2339,0.03227,1.0911,951.97,0.0005702821,7.6538
13.313,0.03583,3.7783,912.44,0.0006995046,57.6382
15.2767,0.02143,1.1577,1043.89,0.001545495,16.6788
5.3381,0.0263,0.8756,996.62,0.001183236,2.1449
5.7546,0.16515,2.2418,923.8,0.0008041755,1.3645
9.7861,0.04193,2.3184,884.96,0.0006032692,11.5773
10.5317,0.08113,2.2787,893.92,0.0003300879,5.4585
13.9813,0.05835,2.0283,942.78,0.0003935014,8.5253
19.1077,0.05029,3.9819,1038.51,0.0004326696,59.789
19.7696,0.06806,2.202,996.83,0.0006091934,13.0126
13.5307,0.03078,2.1728,893.05,0.00179891,25.4831
13.4459,0.19482,1.9762,1021.91,0.0007822067,2.2312
8.0936,0.13162,0.7339,925.64,0.0004683905,0.2774
18.4726,0.11032,2.5753,1020.34,0.0003666483,8.8069
10.8771,0.05886,1.2979,898.34,0.0005699728,2.8543
3.0097,0.02844,2.7316,973.73,0.001409967,9.2923
13.7152,0.16661,0.6779,1035.33,0.0006208129,0.3569
15.2757,0.0439,3.9349,901.58,0.001298959,55.9665
8.3166,0.02245,2.1415,988.59,0.001375552,24.2096
18.0288,0.044,3.6386,1047.46,0.0003701924,55.6744
17.8416,0.12459,2.1645,880.12,0.000951922,4.5032
21.6561,0.0839,0.7112,867.68,0.00185067,1.291
20.1426,0.11269,3.3777,984.84,0.0006433486,18.0872
20.2681,0.12436,2.7686,917.95,0.0003304415,9.0825
10.854,0.03258,3.2361,864.25,0.001729173,35.7368
24.0481,0.16781,1.9986,945.06,0.001603916,5.0902
17.376,0.05483,2.7328,1000.75,0.0008078266,25.5631
14.0797,0.08711,3.4968,907.02,0.0008553176,16.2311
19.5283,0.02011,2.7087,917.01,0.0004483081,81.9669
12.0984,0.19697,1.7169,1019.14,0.001419953,1.5272
16.3567,0.03819,2.8189,954.01,0.0007725422,36.2905
